"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"UnEMREncounterModel","","","",0,*,"","","","","UnEMR Encounter Logical Model","Encounter data model implemented in UnEMR","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"UnEMREncounterModel.encounterId","","","",1,1,"","","","id {[]} {[]}
","Identifier for this encounter","Identifier for this encounter","","","","","","","","","",,,,,"",,,,"UnEMREncounterModel.encounterId",1,1,"",""
"UnEMREncounterModel.typeOfEncounter","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type of consultation","Type of medical consultation (e.g. outpatient, inpatient, emergency)","","","","","","","","","",,,,,"",,,,"UnEMREncounterModel.typeOfEncounter",0,1,"",""
"UnEMREncounterModel.purposeOfEncounter","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Purpose of consulration","Purpose of the consultation (e.g. check-up, follow-up, new health issue)","","","","","","","","","",,,,,"",,,,"UnEMREncounterModel.purposeOfEncounter",0,1,"",""
"UnEMREncounterModel.dateOfEncounter","","","",1,1,"","","","dateTime {[]} {[]}
","Date of the consultation","Date of the consultation","","","","","","","","","",,,,,"",,,,"UnEMREncounterModel.dateOfEncounter",1,1,"",""
"UnEMREncounterModel.patient","","","",1,1,"","","","Reference {[]} {[]}
","Reference to the patient","Reference to the target patient","","","","","","","","","",,,,,"",,,,"UnEMREncounterModel.patient",1,1,"",""
"UnEMREncounterModel.provider","","","",1,1,"","","","Reference {[]} {[]}
","Reference to the provider","Provider who is involved with this patient consultation","","","","","","","","","",,,,,"",,,,"UnEMREncounterModel.provider",1,1,"",""
"UnEMREncounterModel.age","","","",0,1,"","","","integer {[]} {[]}
","Age of the patient on consultation","Age of the patient during the consultation","","","","","","","","","",,,,,"",,,,"UnEMREncounterModel.age",0,1,"",""
"UnEMREncounterModel.complaints","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Issues identified by the patient","Issues identified by the patient. Values are selected from SNOMED-CT or ICD-10","","","","","","","","","",,,,,"",,,,"UnEMREncounterModel.complaints",0,*,"",""
"UnEMREncounterModel.reviewOfSystems","","","",0,1,"","","","BackboneElement {[]} {[]}
","Review of systems","Review of systems","","","","","","","","","",,,,,"",,,,"UnEMREncounterModel.reviewOfSystems",0,1,"",""
"UnEMREncounterModel.reviewOfSystems.neurologic","","","",0,1,"","","","string {[]} {[]}
","Review of the neurologic system","Review of the neurologic system","","","","","","","","","",,,,,"",,,,"UnEMREncounterModel.reviewOfSystems.neurologic",0,1,"",""
